,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,capital-gain,capital-loss,hours-per-week
0,4,12,0,0,0,0,0,38,0,39,77516,2174,0,40
1,6,12,1,1,1,0,0,38,0,50,83311,0,0,13
2,2,8,4,2,0,0,0,38,0,38,215646,0,0,40
3,2,6,1,2,1,1,0,38,0,53,234721,0,0,40
4,2,12,1,3,2,1,1,4,0,28,338409,0,0,40
5,2,13,1,1,2,0,1,38,0,37,284582,0,0,40
6,2,4,2,4,0,1,1,22,0,49,160187,0,0,16
7,6,8,1,1,1,0,0,38,1,52,209642,0,0,45
8,2,13,0,3,0,0,1,38,1,31,45781,14084,0,50
9,2,12,1,1,1,0,0,38,1,42,159449,5178,0,40
10,2,9,1,1,1,1,0,38,1,37,280464,0,0,80
11,4,12,1,3,1,2,0,18,1,30,141297,0,0,40
12,2,12,0,0,3,0,1,38,0,23,122272,0,0,30
13,2,10,0,5,0,1,0,38,0,32,205019,0,0,50
14,2,11,1,6,1,2,0,34,1,40,121772,0,0,40
15,2,3,1,7,1,3,0,25,0,34,245487,0,0,45
16,6,8,0,8,3,0,0,38,0,25,176756,0,0,35
17,2,8,0,9,4,0,0,38,0,32,186824,0,0,40
18,2,6,1,5,1,0,0,38,0,38,28887,0,0,50
19,6,13,4,1,4,0,1,38,1,43,292175,0,0,45
20,2,14,1,3,1,0,0,38,1,40,193524,0,0,60
21,2,8,5,4,4,1,1,38,0,54,302146,0,0,20
22,5,4,1,8,1,1,0,38,0,35,76845,0,0,40
23,2,6,1,7,1,0,0,38,0,43,117037,0,2042,40
24,2,8,4,10,4,0,1,38,0,59,109015,0,0,40
25,3,12,1,10,1,0,0,38,1,56,216851,0,0,40
26,2,8,0,6,3,0,0,38,0,19,168294,0,0,40
27,2,9,1,8,1,2,0,34,1,54,180211,0,0,60
28,2,8,4,1,0,0,0,38,0,39,367260,0,0,80
29,2,8,1,6,1,0,0,38,0,49,193366,0,0,40
30,3,10,0,11,0,0,0,38,0,23,190709,0,0,52
31,2,9,0,5,3,1,0,38,0,20,266015,0,0,44
32,2,12,4,1,3,0,0,38,0,45,386940,0,1408,40
33,5,9,1,0,3,0,0,38,0,30,59951,0,0,40
34,4,9,1,4,1,1,0,38,0,22,311512,0,0,15
35,2,6,0,9,4,0,0,32,0,48,242406,0,0,40
36,2,9,0,9,3,0,0,38,0,21,197200,0,0,40
37,2,8,3,0,2,0,1,38,0,19,544091,0,0,25
38,2,9,1,5,1,0,0,4,1,31,84154,0,0,38
39,6,10,1,3,1,0,0,38,0,48,265477,0,0,40
40,2,4,1,9,1,0,0,38,0,31,507875,0,0,43
41,6,12,1,3,1,0,0,38,0,53,88506,0,0,40
42,2,12,1,10,1,0,0,38,0,24,172987,0,0,50
43,2,8,5,0,4,0,1,38,0,49,94638,0,0,40
44,2,8,0,2,0,0,0,38,0,25,289980,0,0,35
45,5,12,1,3,1,1,0,38,1,57,337895,0,0,40
46,2,8,1,9,1,0,0,38,0,53,144361,0,0,38
47,2,13,4,1,4,0,1,38,0,44,128354,0,0,40
48,4,11,1,6,1,0,0,38,0,41,101603,0,0,40
49,2,11,0,3,0,0,0,38,0,29,271466,0,0,43
50,2,9,1,1,2,4,1,38,0,25,32275,0,0,40
51,2,8,0,4,3,0,1,29,0,18,226956,0,0,30
52,2,15,1,3,2,0,1,15,1,47,51835,0,1902,60
53,5,12,4,1,0,0,0,38,1,50,251585,0,0,55
54,7,8,4,1,0,0,0,38,0,47,109832,0,0,60
55,2,9,1,10,1,0,0,38,1,43,237993,0,0,40
56,2,2,1,9,1,0,0,25,0,46,216666,0,0,40
57,2,11,1,4,1,0,0,32,0,35,56352,0,0,40
58,2,8,1,0,1,0,0,38,0,41,147372,0,0,48
59,2,8,1,9,1,0,0,38,0,30,188146,5013,0,40
60,2,12,1,5,1,0,0,38,0,30,59496,2407,0,40
61,2,3,2,6,0,0,0,4,0,32,293936,0,0,40
62,2,8,1,7,1,0,0,38,0,48,149640,0,0,40
63,2,14,1,3,1,0,0,38,1,42,116632,0,0,45
64,2,9,4,10,0,0,0,38,0,29,105598,0,0,58
65,2,8,1,6,1,0,0,38,0,36,155537,0,0,40
66,2,9,4,0,0,0,1,38,0,28,183175,0,0,40
67,2,8,1,0,2,0,1,38,1,53,169846,0,0,40
68,7,9,1,1,1,0,0,38,1,49,191681,0,0,50
69,1,9,0,11,3,0,0,38,0,25,200681,0,0,40
70,2,9,0,3,3,0,0,38,0,19,101509,0,0,32
71,2,12,5,5,3,1,1,38,0,31,309974,0,0,40
72,6,12,1,5,1,0,0,38,1,29,162298,0,0,70
73,2,9,0,9,0,0,0,38,0,23,211678,0,0,40
74,2,9,1,3,5,0,0,38,0,79,124744,0,0,20
75,2,8,0,4,3,0,0,25,0,27,213921,0,0,40
76,2,10,1,0,1,0,0,38,0,40,32214,0,0,40
77,5,5,1,10,1,0,0,38,0,67,212759,0,0,2
78,2,6,0,4,3,0,1,38,0,18,309634,0,0,22
79,3,3,1,8,1,0,0,38,0,31,125927,0,0,40
80,2,8,0,5,0,0,0,38,0,18,446839,0,0,30
81,2,12,1,4,1,0,0,4,0,52,276515,0,0,40
82,2,8,1,4,2,0,1,38,0,46,51618,0,0,40
83,2,8,1,5,1,0,0,38,0,59,159937,0,0,48
84,2,8,4,6,0,0,1,38,1,44,343591,14344,0,40
85,2,8,4,5,3,0,1,38,0,53,346253,0,0,35
86,3,8,1,11,1,0,0,38,1,49,268234,0,0,40
87,2,13,1,3,1,0,0,38,0,33,202051,0,0,50
88,2,4,0,5,0,0,0,38,0,30,54334,0,0,40
89,5,14,0,3,0,0,1,38,1,43,410867,0,0,50
90,2,11,1,3,1,0,0,38,0,57,249977,0,0,40
91,2,9,4,6,4,0,1,38,0,37,286730,0,0,40
92,2,9,4,9,4,1,1,38,0,28,212563,0,0,25
93,2,8,1,5,2,2,1,0,0,30,117747,0,1573,35
94,3,12,1,11,1,0,0,38,1,34,226296,0,0,40
95,3,9,0,2,0,0,0,38,0,29,115585,0,0,50
96,6,14,1,3,1,0,0,38,1,48,191277,0,1902,60
97,2,9,1,5,1,0,0,38,1,37,202683,0,0,48
98,2,10,4,1,4,0,1,8,0,48,171095,0,0,40
99,5,8,0,4,3,1,0,38,0,32,249409,0,0,40
100,2,13,1,1,1,0,0,38,1,76,124191,0,0,40
101,2,12,1,1,1,0,0,38,1,44,198282,15024,0,60
102,6,13,0,3,0,0,1,38,0,47,149116,0,0,50
103,2,9,0,10,3,0,1,38,0,20,188300,0,0,40
104,2,8,0,6,0,0,0,38,0,29,103432,0,0,40
105,7,8,1,6,1,0,0,38,1,32,317660,7688,0,40
106,5,5,0,8,3,0,1,38,0,17,304873,34095,0,32
107,2,6,0,2,3,0,0,38,0,30,194901,0,0,40
108,3,8,0,0,0,0,1,38,0,31,189265,0,0,40
109,2,8,1,2,1,0,0,38,0,42,124692,0,0,40
110,2,12,0,5,5,0,0,38,0,24,432376,0,0,40
111,2,15,1,3,1,0,0,38,1,38,65324,0,0,40
112,6,8,1,4,1,0,0,1,1,56,335605,0,1887,50
113,2,9,1,5,2,0,1,38,0,28,377869,4064,0,25
114,2,8,0,9,3,0,1,38,0,36,102864,0,0,40
115,2,4,1,2,1,0,0,38,0,53,95647,0,0,50
116,7,9,1,5,1,0,0,38,0,56,303090,0,0,50
117,3,11,1,6,1,1,0,38,1,49,197371,0,0,40
118,2,9,1,5,1,0,0,38,0,55,247552,0,0,56
119,2,8,0,6,0,0,0,38,0,22,102632,0,0,41
120,2,9,0,4,3,0,1,38,0,21,199915,0,0,40
121,2,12,1,1,1,0,0,38,0,40,118853,0,0,60
122,2,12,0,1,3,1,0,10,0,30,77143,0,0,40
123,4,12,1,3,1,0,0,38,1,29,267989,0,0,50
124,2,9,0,4,3,1,0,38,0,19,301606,0,0,35
125,2,12,1,1,2,0,1,38,1,47,287828,0,0,40
126,2,9,0,0,3,0,1,38,0,20,111697,0,1719,28
127,2,10,1,0,1,0,0,38,1,31,114937,0,0,40
128,4,8,1,0,1,0,0,38,0,35,129305,0,0,40
129,2,9,4,6,0,0,0,38,0,39,365739,0,0,40
130,2,10,0,5,0,0,1,38,0,28,69621,0,0,60
131,2,8,0,4,0,0,1,38,0,24,43323,0,1762,40
132,6,8,1,6,1,0,0,38,0,38,120985,4386,0,35
133,2,12,1,5,1,0,0,38,0,37,254202,0,0,50
134,2,10,4,10,0,1,1,38,0,46,146195,0,0,36
135,5,13,1,3,1,0,0,19,1,38,125933,0,0,40
136,6,8,1,6,1,0,0,38,0,43,56920,0,0,60
137,2,11,1,0,2,0,1,38,0,27,163127,0,0,35
138,2,9,0,5,3,0,0,38,0,20,34310,0,0,20
139,2,9,1,6,1,2,0,38,1,49,81973,0,0,40
140,7,8,1,6,1,0,0,38,0,61,66614,0,0,40
141,2,9,0,5,3,0,1,38,0,27,232782,0,0,40
142,2,9,0,4,3,0,0,25,0,19,316868,0,0,30
143,2,11,0,3,0,0,1,38,1,45,196584,0,1564,40
144,2,9,0,10,5,0,0,38,0,70,105376,0,0,40
145,2,8,0,7,4,1,1,38,0,31,185814,0,0,30
146,2,9,1,4,1,0,0,38,0,22,175374,0,0,24
147,2,8,6,4,4,0,1,38,0,36,108293,0,0,24
148,2,6,1,6,1,0,0,38,0,64,181232,0,2179,40
149,5,9,4,11,0,0,1,38,0,43,174662,0,0,40
150,3,9,4,0,4,0,1,25,0,47,186009,0,0,38
151,2,8,0,0,0,0,1,38,0,34,198183,0,0,40
152,2,12,0,1,5,2,1,29,0,33,163003,0,0,40
153,2,8,0,6,3,0,0,38,0,21,296158,0,0,35
154,4,8,4,1,0,0,0,38,1,52,252903,0,0,45
155,2,8,1,6,1,0,0,38,0,48,187715,0,0,46
156,2,12,0,2,0,0,0,38,0,23,214542,0,0,40
157,6,9,5,5,4,1,0,38,0,71,494223,0,1816,2
158,2,8,4,6,0,0,0,38,0,29,191535,0,0,60
159,2,12,5,4,5,1,0,38,0,42,228456,0,0,50
160,7,1,4,10,0,0,1,38,0,68,38317,0,0,20
161,2,8,0,4,4,0,1,38,0,25,252752,0,0,40
162,7,13,4,1,4,2,1,38,0,44,78374,0,0,40
163,2,8,0,1,0,2,1,8,0,28,88419,0,0,40
164,6,13,1,5,1,0,0,38,1,45,201080,0,0,40
165,2,9,4,4,4,0,1,25,0,36,207157,0,0,40
166,5,10,0,1,0,0,0,38,0,39,235485,0,0,42
167,4,13,6,11,4,0,0,38,0,46,102628,0,0,40
168,2,6,0,2,3,0,0,38,0,18,25828,0,0,16
169,3,11,6,3,0,0,1,38,0,66,54826,0,0,20
170,2,8,0,4,0,0,0,38,0,27,124953,0,1980,40
171,4,8,1,11,1,0,0,38,0,28,175325,0,0,40
172,2,9,1,5,1,0,0,38,1,51,96062,0,1977,40
173,2,12,0,6,0,0,0,38,0,27,428030,0,0,50
174,4,12,1,3,1,0,0,38,1,28,149624,0,0,40
175,2,8,2,5,4,0,1,38,0,27,253814,0,0,25
176,2,8,0,6,3,1,0,38,0,21,312956,0,0,40
177,2,8,0,2,0,1,0,38,0,34,483777,0,0,40
178,2,8,0,4,3,0,0,38,0,18,183930,0,0,12
179,2,12,1,3,1,0,0,38,0,33,37274,0,0,65
180,3,9,1,1,1,1,0,38,1,44,181344,0,0,38
181,2,9,4,0,0,0,1,38,0,43,114580,0,0,40
182,2,9,0,6,0,1,0,38,0,30,633742,0,0,45
183,2,3,1,9,1,0,0,25,1,40,286370,0,0,40
184,5,9,1,0,1,0,0,38,1,37,29054,0,0,42
185,2,8,1,0,1,1,0,38,0,34,304030,0,0,40
186,6,12,4,1,0,0,1,38,0,41,143129,0,0,40
187,2,12,4,8,0,0,1,38,0,53,135105,0,0,50
188,2,13,1,3,2,0,1,38,0,31,99928,0,0,50
189,4,14,1,3,1,0,0,38,1,58,109567,0,0,1
190,2,9,4,9,0,1,1,38,0,38,155222,0,0,28
191,2,9,1,9,1,0,0,38,0,24,159567,0,0,40
192,3,12,1,6,1,1,0,38,0,41,523910,0,0,40
193,2,9,1,10,1,0,0,38,0,47,120939,0,0,45
194,5,12,1,10,1,0,0,38,0,41,130760,0,0,24
195,2,2,1,7,5,0,0,25,0,23,197387,0,0,40
196,2,9,4,6,0,0,0,38,0,36,99374,0,0,40
197,5,13,0,1,0,0,1,38,1,40,56795,14084,0,55
198,2,13,1,3,5,0,0,38,1,35,138992,7298,0,40
199,6,8,0,5,0,0,0,38,0,24,32921,0,0,40
200,2,13,0,3,0,0,1,38,0,26,397317,0,1876,40
201,1,8,0,3,3,0,0,21,0,19,170653,0,0,40
202,2,12,1,1,1,0,0,38,1,51,259323,0,0,50
203,3,9,0,3,0,0,1,38,0,42,254817,0,1340,40
204,4,8,4,0,4,0,1,38,0,37,48211,0,0,35
205,2,6,0,5,3,0,1,38,0,18,140164,0,0,40
206,2,12,1,4,1,1,0,38,1,36,128757,7298,0,36
207,2,8,4,6,0,0,0,38,0,35,36270,0,0,60
