id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
788752,Vikingulven,Viking Wolf,no,2022-11-18,3.648,0,0.0,0,0,97,Post Production,False,"Horror, Thriller",0
384723,Witch's Feast (Part 2),Witch's Feast (Part 2),en,2003-01-01,0.6,0,0.0,0,0,35,Released,False,Horror,0
754651,On Venus,On Venus,en,2019-11-08,0.6,0,0.0,0,0,10,Released,False,"Documentary, Horror, Science Fiction",0
432730,The Slavers,The Slavers,en,1984-01-01,0.6,0,0.0,0,0,96,Released,False,Horror,0
737515,The Children of Golgotha,The Children of Golgotha,de,2019-11-09,0.6,1,2.0,0,0,110,Released,False,Horror,0
1030684,Rest ( 2021),Rest ( 2021),en,2021-10-01,0.6,0,0.0,100,0,0,Released,False,Horror,-100
464929,Ghost Hospital,Ghost Hospital,vi,2016-10-02,0.6,0,0.0,0,0,104,Released,False,"Comedy, Horror",0
224075,Torment,Torment,en,1986-04-01,1.61,5,3.4,0,0,85,Released,False,"Crime, Horror, Mystery, Thriller",0
126693,Kulay Dugo ang Gabi,The Blood Drinkers,tl,1964-11-06,2.703,12,5.3,0,0,86,Released,False,Horror,0
87069,殺し屋１ THE ANIMATION EPISODE 0,Ichi the Killer: Episode 0,ja,2002-09-27,2.163,20,5.8,0,0,50,Released,False,"Animation, Drama, Horror, Thriller",0
203525,Beastly Boyz,Beastly Boyz,en,2006-10-02,1.928,7,2.7,683558,0,74,Released,False,"Horror, Thriller",-683558
413097,Look If You Dare,Look If You Dare,en,2016-07-19,0.6,0,0.0,0,0,4,Released,False,Horror,0
10776,Little Shop of Horrors,Little Shop of Horrors,en,1986-12-19,14.076,1165,6.9,25000000,38748395,94,Released,False,"Comedy, Horror",13748395
402805,Fatal Invitation,Fatal Invitation,en,2011-04-03,0.6,1,5.5,0,1593132,85,Released,False,"Horror, Mystery, Thriller",1593132
536660,Jelangkung 3,Jelangkung 3,id,2007-10-04,0.6,0,0.0,0,0,82,Released,False,Horror,0
424087,Los demonios del desierto,Demons of the Desert,es,1990-01-01,0.77,6,4.5,0,0,90,Released,False,"Action, Horror",0
27771,Sometimes They Come Back... for More,Sometimes They Come Back... for More,en,1998-09-06,5.626,46,4.4,0,0,89,Released,False,Horror,0
36901,Violent Shit 3 - Infantry of Doom,Violent Shit 3 - Infantry of Doom,de,1999-03-21,1.317,13,3.2,0,0,79,Released,False,"Action, Horror",0
587595,Cavie,Cavie,it,2009-12-10,0.843,0,0.0,0,0,0,Released,False,"Horror, Thriller",0
503436,Behind the Walls,Behind the Walls,en,2018-02-01,1.793,6,6.3,0,0,91,Released,False,Horror,0
28382,The Devil's Bloody Playthings,The Devil's Bloody Playthings,en,2005-09-25,1.304,3,3.5,0,0,85,Released,False,"Fantasy, Horror",0
840334,Larmes de sang,Larmes de sang,fr,2011-01-01,0.6,1,10.0,0,0,82,Released,False,Horror,0
487208,Plenilunio,Full Moon,es,1993-11-14,0.6,1,4.0,0,0,85,Released,False,Horror,0
839678,Unhuman,Unhuman,en,2022-06-03,56.0,59,5.7,0,0,87,Released,False,"Comedy, Horror",0
336455,Viral,Viral,en,2016-02-18,15.024,438,5.7,0,551760,86,Released,False,"Drama, Horror, Science Fiction",551760
878671,"Ghost Hunters, Inc. Presents: The Graveyard Shift","Ghost Hunters, Inc. Presents: The Graveyard Shift",en,2005-12-12,0.6,0,0.0,0,0,70,Released,False,"Comedy, Horror",0
57008,Alice in Murderland,Alice in Murderland,en,2010-02-05,3.515,16,3.0,0,0,90,Released,False,"Horror, Thriller",0
126397,The Case of the Smiling Stiffs,The Case of the Smiling Stiffs,en,1973-10-17,3.06,5,6.0,0,0,65,Released,False,"Comedy, Horror",0
95514,Boy Meets Girl,Boy Meets Girl,en,1994-07-30,1.023,11,4.5,0,0,93,Released,False,"Drama, Horror",0
20591,Cradle of Fear,Cradle of Fear,en,2001-07-04,4.201,53,4.4,0,0,120,Released,False,Horror,0
812987,Juncture,Juncture,en,2017-03-29,0.6,0,0.0,0,0,13,Released,False,Horror,0
104404,From the Drain,From the Drain,en,1967-01-01,1.933,22,4.9,0,0,13,Released,False,Horror,0
709430,The Screaming Silent,The Screaming Silent,en,2020-05-27,0.6,2,1.5,0,0,104,Released,False,"Drama, Horror",0
791655,Dikejar Setan,Chased by Satan,id,2009-06-25,0.6,0,0.0,0,0,100,Released,False,"Horror, Thriller",0
670127,Real Thing,Real Thing,en,2007-02-18,0.6,0,0.0,0,0,5,Released,False,Horror,0
321708,처녀귀신,A Virgin Ghost,en,1967-12-18,0.6,0,0.0,0,0,0,Released,False,"Horror, Mystery",0
26958,Puppet Master 5: The Final Chapter,Puppet Master 5: The Final Chapter,en,1994-09-21,7.007,73,5.1,0,0,82,Released,False,"Fantasy, Horror, Science Fiction",0
878127,Bienvenidos al infierno,Welcome to Hell,es,2021-10-07,1.946,12,5.2,0,0,90,Released,False,Horror,0
