id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
84988,The Dark Side of Midnight,The Dark Side of Midnight,en,1984-01-01,0.6,1,3.0,0,0,108,Released,False,Horror,0
811767,The Forgotten,The Forgotten,en,2018-07-31,0.6,0,0.0,0,0,3,Released,False,Horror,0
96485,ゆきおんな,Snow Woman,ja,2009-01-01,1.372,1,4.5,0,0,0,Released,False,Horror,0
627533,American Antichrist,American Antichrist,en,2018-10-31,0.632,1,7.0,0,0,50,Released,False,Horror,0
28725,B.T.K. Killer,B.T.K. Killer,en,2005-06-11,3.301,11,4.1,0,0,82,Released,False,"Crime, Drama, Horror",0
490798,Логово,Lair,ru,2017-11-30,1.099,0,0.0,0,0,100,Released,False,Horror,0
428325,Longo Caminho da Morte,Long Way of Death,pt,1972-09-22,0.84,4,5.5,0,0,85,Released,False,"Drama, Horror",0
395992,Life,Life,en,2017-03-22,32.282,6326,6.4,58000000,100541806,104,Released,False,"Horror, Mystery, Science Fiction, Thriller",42541806
670263,Enam,Six,id,2007-11-15,0.6,1,1.0,0,0,97,Released,False,Horror,0
113632,EKOEKO AZARAK エコエコアザラク,Eko Eko Azarak: Awakening,ja,2001-04-28,0.731,4,4.8,0,0,89,Released,False,"Drama, Horror",0
522297,Trial by Terror,Trial by Terror,en,1983-01-01,0.6,0,0.0,0,0,90,Released,False,"Horror, Thriller",0
370473,藪の中,In a Thicket,ja,1996-05-18,0.6,3,6.7,0,0,88,Released,False,"Fantasy, Horror, Mystery",0
789373,Gazorra: Bestie die aus den Erdinnern,Gazorra: Beast from the Bowels of the Earth,en,1984-01-01,0.6,1,6.0,0,0,8,Released,False,"Comedy, Horror",0
950926,Golgata,Golgata,en,2021-01-01,0.6,0,0.0,0,0,26,Released,False,Horror,0
513980,Lewat Tengah Malam,After Midnight,id,2007-03-26,0.6,0,0.0,0,0,81,Released,False,Horror,0
83000,Fairview Falls,Fairview Falls,en,2011-11-05,0.6,2,1.5,0,0,97,Released,False,Horror,0
664617,Raising Hell,Raising Hell,en,2003-10-21,0.6,0,0.0,0,0,85,Released,False,"Horror, Thriller",0
14098,100 Feet,100 Feet,en,2008-07-22,8.34,241,5.5,10000000,1415804,105,Released,False,"Horror, Thriller",-8584196
454031,Tampoon,Tampoon,en,2015-12-11,0.6,5,4.2,0,0,7,Released,False,"Comedy, Horror",0
869666,Из темноты,From the Dark,ru,2021-08-27,0.6,1,10.0,0,0,0,Released,False,Horror,0
751365,Telos,Telos,en,2017-05-26,0.6,0,0.0,0,0,3,Released,False,Horror,0
192881,廣州殺人王之人皮日記,Diary of a Serial Killer,cn,1995-06-02,1.538,2,2.0,0,0,84,Released,False,"Horror, Thriller",0
915156,Lost Footage,Lost Footage,en,2022-03-20,0.684,0,0.0,0,0,11,Released,False,"Drama, Horror, Mystery",0
639895,Raat Ke Andhere Mein,Raat Ke Andhere Mein,en,1987-01-01,0.6,0,0.0,0,0,110,Released,False,"Horror, Mystery",0
28642,Gradiva (C'est Gradiva qui vous appelle),It's Gradiva Who Is Calling You,ru,2007-05-09,2.234,21,6.1,0,0,115,Released,False,"Drama, Horror",0
485587,El castillo de los monstruos,El castillo de los monstruos,es,1964-01-01,0.6,0,0.0,0,0,0,Released,False,"Drama, Horror",0
583984,Re-Elected,Re-Elected,en,2020-07-04,2.345,23,6.0,0,0,82,Released,False,"Comedy, Horror",0
764065,Stir Crazy,Stir Crazy,en,2020-11-13,0.6,0,0.0,500,0,48,Released,False,"Drama, Horror, Thriller",-500
860721,Til Death Do Us Part,Til Death Do Us Part,en,2019-12-12,0.6,0,0.0,0,0,73,Released,False,"Horror, Music",0
120749,The Awakened,The Awakened,en,2009-01-01,0.919,2,4.0,0,0,0,Released,False,"Action, Horror, Science Fiction",0
436549,The Field Guide to Evil,The Field Guide to Evil,en,2018-10-11,7.437,89,5.7,0,0,117,Released,False,Horror,0
575224,ບໍ່ມີວັນຈາກ,The Long Walk,lo,2022-02-18,3.842,4,7.3,0,0,116,Released,False,"Drama, Horror, Science Fiction",0
48626,超神伝説うろつき童子 魔胎伝,Urotsukidōji II: Legend of the Demon Womb,ja,1991-07-27,5.877,20,5.6,0,0,88,Released,False,"Animation, Fantasy, Horror",0
81498,Brød & Sirkus,Bread and Circus,no,2003-05-16,1.4,5,2.2,78000,0,75,Released,False,"Adventure, Comedy, Fantasy, Horror",-78000
58643,Wake the Witch,Wake the Witch,en,2010-09-28,1.31,4,3.3,0,0,114,Released,False,"Horror, Thriller",0
443711,UK18,UK18,en,2017-04-19,2.132,1,6.0,0,0,86,Released,False,"Drama, Horror, Thriller",0
97877,Dead Line,Dead Line,fr,2011-01-01,0.6,0,0.0,0,0,0,Released,False,Horror,0
359299,Yoshie Zero,Yoshie Zero,ja,2010-08-06,0.926,1,6.0,0,0,14,Released,False,"Action, Comedy, Horror, Science Fiction",0
561516,Curse of the Scarecrow,Curse of the Scarecrow,en,2018-10-22,2.242,6,3.2,0,27642,88,Released,False,Horror,27642
395929,貓靈,Devil Cat,zh,1985-08-03,0.876,0,0.0,0,0,85,Released,False,Horror,0
151382,The House on Dame Street,The House on Dame Street,en,1999-04-10,0.6,1,7.0,0,0,5,Released,False,"Comedy, Horror",0
385459,Until Death,Until Death,en,2002-11-11,0.6,0,0.0,0,0,86,Released,False,Horror,0
294844,追魂七殺,Killing Seven,en,2013-01-18,0.6,0,0.0,0,0,0,Released,False,"Horror, Thriller",0
159826,Broken Night,Broken Night,en,2013-01-16,0.6,3,5.0,0,0,9,Released,False,"Drama, Horror",0
393519,Grave,Raw,fr,2016-11-11,22.941,2681,7.1,3500000,4100000,99,Released,False,"Comedy, Drama, Horror",600000
719456,Michale Graves: Zombies,Michale Graves: Zombies,en,2014-01-01,0.6,0,0.0,0,0,24,Released,False,"Horror, Music",0
256756,Purgatorio,Purgatory,es,2014-03-28,6.044,12,4.4,0,0,83,Released,False,"Horror, Mystery",0
702391,Tagged,Tagged,en,2019-11-04,0.6,0,0.0,0,0,3,Released,False,Horror,0
472750,This Book Is Cursed,This Book Is Cursed,en,2017-04-02,0.6,0,0.0,0,0,74,Released,False,Horror,0
744979,Truth or Dare,Truth or Dare,en,2013-01-01,0.6,1,2.0,165000,0,85,Released,False,Horror,-165000
472908,The Garlock Incident,The Garlock Incident,en,2012-11-10,1.956,6,5.3,0,0,78,Released,False,"Horror, Mystery, Thriller",0
29579,H2Odio,Hate2O,it,2006-05-05,2.124,28,3.9,0,0,88,Released,False,"Horror, Thriller",0
383901,The Last Buck Hunt,The Last Buck Hunt,en,2013-09-21,1.502,2,5.5,0,0,88,Released,False,"Comedy, Horror",0
445602,The Raking,The Raking,en,2017-03-07,1.446,12,5.1,0,0,98,Released,False,Horror,0
550355,Information Superhighway,Information Superhighway,en,2018-01-19,0.6,0,0.0,0,0,11,Released,False,"Horror, Science Fiction",0
